cve,securitypatchlevel,reference,type,severity,aospversion,securitycomponent,component,other
CVE-2020-0114,2020-06-01,[A-147606347](https://android.googlesource.com/platform/frameworks/base/+/d16e86f466c2fc18448b654cbe71089c7fede991),EoP,High,10,framework,N/A,
CVE-2020-0115,2020-06-01,[A-150038428](https://android.googlesource.com/platform/frameworks/base/+/f4976307cec95e213cf0ad656dd3d34a311e55c5),EoP,High,"8.0, 8.1, 9, 10",framework,N/A,
CVE-2020-0121,2020-06-01,[A-148180766](https://android.googlesource.com/platform/frameworks/base/+/40473c4632a5e5803280058dfd29c3db7f13c406) [2](https://android.googlesource.com/platform/frameworks/base/+/7f0136aac9fc6593c8a057c5e650293075335ebb),ID,High,10,framework,N/A,
CVE-2020-0118,2020-06-01,[A-150904694](https://android.googlesource.com/platform/frameworks/native/+/4271f564399e35186473ccd2d70b45bb5038c97a),EoP,High,10,media-framework,N/A,
CVE-2020-0113,2020-06-01,[A-150944913](https://android.googlesource.com/platform/frameworks/av/+/cbbd7e06ac322f5f5e373be23379d06c10082864),ID,High,"9, 10",media-framework,N/A,
CVE-2020-0117,2020-06-01,[A-151155194](https://android.googlesource.com/platform/system/bt/+/1570b62c88d7c5b9c6bfe43da8cc16ea30d3e8df),RCE,Critical,"8.0, 8.1, 9, 10",system,N/A,
CVE-2020-8597,2020-06-01,[A-151153886](https://android.googlesource.com/platform/external/ppp/+/f9fec5c36952301e585a420f31e96d35a60d0498),RCE,Critical,"8.0, 8.1, 9, 10",system,N/A,
CVE-2020-0116,2020-06-01,[A-151330809](https://android.googlesource.com/platform/frameworks/base/+/4bf1986a323ed8bdff7934a0f9df60e06c8745f6),ID,High,10,system,N/A,
CVE-2020-0119,2020-06-01,[A-150500247](https://android.googlesource.com/platform/frameworks/base/+/f5d301c277e64169ba173b0204dea1b2382876d8) [2](https://android.googlesource.com/platform/frameworks/opt/net/wifi/+/924050178386e73cc459ec19e47afd7c304c4068),ID,High,10,system,N/A,
CVE-2019-2219,2020-06-05,[A-119041698](https://android.googlesource.com/platform/frameworks/base/+/5136eefeb3e343ad2a487296063d19e01ea554e0) [2](https://android.googlesource.com/platform/frameworks/base/+/b0d526ac1257c2fdc5731335dcf484c7588d488e) [3](https://android.googlesource.com/platform/frameworks/base/+/323ce6205704cc1b3e13b61286069451643392b5),ID,High,10,05-framework,N/A,
CVE-2019-9460,2020-06-05,[A-62535446](https://android.googlesource.com/platform/hardware/interfaces/+/c88c624e2e7f5f683d6381a8d5c96e58b0a85cb7),EoP,High,10,05-system,N/A,
CVE-2020-8647,2020-06-05,A-149079134 [Upstream kernel](https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=513dc792d6060d5ef572e43852683097a8420f56),EoP,High,N/A,kernel-components,Kernel TTY support,
CVE-2020-8648,2020-06-05,A-149079230 [Upstream kernel](https://android.googlesource.com/kernel/common/+/07e6124a1a46) [2](https://android.googlesource.com/kernel/common/+/e8c75a30a23c) [3](https://android.googlesource.com/kernel/common/+/4b70dd57a15d),EoP,High,N/A,kernel-components,Kernel TTY support,
CVE-2020-8428,2020-06-05,A-148713787 [Upstream kernel](https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=d0cb50185ae942b03c4327be322055d622dc79f6) [2](https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=6404674acd596de41fd3ad5f267b4525494a891a),ID,High,N/A,kernel-components,Kernel,
