机型,网络,类型,版本,MD5,下载,大小,时间
17 Pro,A（公开版）,出厂系统,Flyme 8.1.2.1A,9b493fd59bd65df8d21ea6d694f35658,https://firmware.meizu.com/Firmware/Flyme/meizu17_Pro/8.1.2.1/cn/20200515190836/94f35658/update.zip,2648MB,2020-05-20
17 Pro,A（公开版）,出厂系统,Flyme 8.1.2.0A,bcf7ca1114ac2b671a933e26b9a2a945,https://firmware.meizu.com/Firmware/Flyme/m2091/8.1.2.0/cn/20200430030803/b9a2a945/update.zip,2648MB,2020-05-11
17,A（公开版）,出厂系统,Flyme 8.1.1.1A,fc58464759afd54853d5c86f58ed6911,https://firmware.meizu.com/Firmware/Flyme/meizu17/8.1.1.1/cn/20200515185215/58ed6911/update.zip,2587MB,2020-05-20
17,A（公开版）,出厂系统,Flyme 8.1.1.0A,d7acdaffca88f6dc962c56137c8cdea1,https://firmware.meizu.com/Firmware/Flyme/meizu17/8.1.1.0/cn/20200512170705/7c8cdea1/update.zip,2589MB,2020-05-11
16T,A（公开版）,体验版,Flyme 8.20.5.19 beta,2e60ef218bc022ddb18b8bae95fe2d20,https://firmware.meizu.com/Firmware/Flyme/16T/8.20.5.19/cn_beta/20200514113106/95fe2d20/update.zip,2758MB,2020-05-19
16T,A（公开版）,体验版,Flyme 8.20.4.28 beta,3c412622566ca8133bf0f45bc0fa52c2,https://firmware.meizu.com/Firmware/Flyme/16T/8.20.4.28/cn_beta/20200424005306/c0fa52c2/update.zip,2758MB,2020-04-28
16T,A（公开版）,稳定版 推荐,Flyme 8.0.0.1A,c152563ffd8130a86f7c940a8d07255c,https://firmware.meizu.com/Firmware/Flyme/m1928/8.0.0.1/cn/20200310164117/8d07255c/update.zip,2683MB,2020-03-13
16T,A（公开版）,出厂系统,Flyme 7.3.2.1A,7d494016a232883f1d59f0b3db98a726,https://firmware.meizu.com/Firmware/Flyme/m1928/7.3.2.1/cn/20191022171807/db98a726/update.zip,2545MB,2019-10-28
16s Pro,A（公开版）,体验版,Flyme 8.20.5.19 beta,341d8dd60039cbfcef90c2238fc609a4,https://firmware.meizu.com/Firmware/Flyme/16s_Pro/8.20.5.19/cn_beta/20200514113146/8fc609a4/update.zip,2581MB,2020-05-19
16s Pro,A（公开版）,体验版,Flyme 8.20.4.28 beta,403cd68aad541322613a10168b90fc0c,https://firmware.meizu.com/Firmware/Flyme/16s_Pro/8.20.4.28/cn_beta/20200424101234/8b90fc0c/update.zip,2582MB,2020-04-28
16s Pro,A（公开版）,稳定版 推荐,Flyme 8.0.0.0A,37a6e3a4b6358ebfadc3fb167fc423f3,https://firmware.meizu.com/Firmware/Flyme/16s_Pro/8.0.0.0/cn/20200107100707/7fc423f3/update.zip,2483MB,2020-01-10
