Retail Branding,Marketing Name,Device,Model
Huawei,,C8600,C8600
Huawei,,CHT8000,CHT8000
Huawei,,HuaweiU8180,Huawei Ideos X1
Huawei,,HuaweiU8180,HuaweiU8180
Huawei,,HuaweiU8180,IDEOS X1
Huawei,,HuaweiU8180,Kyivstar Terra
Huawei,,HuaweiU8180,Starshine
Huawei,,HuaweiU8180,Stockholm
Huawei,,HuaweiU8180,U8180
Huawei,,Pulse,Pulse
Huawei,,T8300,HUAWEI T8300
Huawei,,T8600,HUAWEI T8600
Huawei,,T8828,HUAWEI T8828
Huawei,,U8110,EQ U8110
Huawei,,U8110,Huawei
Huawei,,U8110,Huawei U8110
Huawei,,U8110,MTC_A
Huawei,,U8110,Pulse Mini
Huawei,,U8110,TSP21
Huawei,,U8110,Turkcell T10
Huawei,,U8110,U8110
Huawei,,U8110,life:) Android
Huawei,,U8300,U8300
Huawei,,U8500,HUAWEI IDEOS U8500
Huawei,,U8500,MTC_EVO
Huawei,,dtab01,dtab01
Huawei,,hwC8813Q,HUAWEI C8813Q
Huawei,,hwC8860E,HUAWEI C8860E
Huawei,,hwG520-T10,HUAWEI G520-T10
Huawei,,hwS42HW,S42HW
Huawei,,hwS7-901w,A01HW
Huawei,,hwT8830Pro,T8830Pro
Huawei,,hwU9202L,U9202L-1
Huawei,,hwU9202L,U9202L-3
Huawei,,hwc8500,C8500
Huawei,,hwc8511,C8511
Huawei,,hwc8511,MTS-SP101
Huawei,,hwc8512,C8512
Huawei,,hwc8600,C8600
Huawei,,hwc8650,C8650
Huawei,,hwc8650e,HUAWEI C8650+
Huawei,,hwc8655,HUAWEI C8655
Huawei,,hwc8800,C8800
Huawei,,hwc8800,MTS-SP140
Huawei,,hwc8810,HUAWEI C8810
Huawei,,hwc8812E,HUAWEI C8812E
Huawei,,hwc8813,HUAWEI C8813
Huawei,,hwc8825D,HUAWEI C8825D
Huawei,,hwc8860E,HUAWEI C8860E
Huawei,,hwc8860V,C8860V
Huawei,,hwc8950D,HUAWEI C8950D
Huawei,,hwcm980,CM980
Huawei,,hwh866c,H866C
Huawei,,hwh866c,HUAWEI H866C
Huawei,,hwh867g,Huawei-H867G
Huawei,,hwh868c,HUAWEI H868C
Huawei,,hwh881c,HUAWEI H881C
Huawei,,hwm650,Express
Huawei,,hwm650,M650
Huawei,,hwm660,M660
Huawei,,hwm860,HUAWEI-M860
Huawei,,hwm865c,M865C
Huawei,,hwm866,HUAWEI M866
Huawei,,hwm866,M866
Huawei,,hwm866,USCCADR3310
Huawei,,hwm886,M886
Huawei,,hwm920,HUAWEI-M920
Huawei,,hwm931,HUAWEI-M931
Huawei,,hwp2-0000,HUAWEI P2-0000
Huawei,,hwp2-6011,HUAWEI P2-6011
Huawei,,hwp2-6011,HUAWEI P2-6011-orange
Huawei,,hws10101u,MediaPad 10 FHD
Huawei,,hws10101w,GT01
Huawei,,hws10101w,MediaPad 10 FHD
Huawei,,hws10201u,MediaPad 10 LINK
Huawei,,hws7300c,HUAWEI MediaPad
Huawei,,hws7300u,HUAWEI MediaPad
Huawei,,hws7300u,Huawei S7-312u
Huawei,,hws7300u,MediaPad
Huawei,,hws7300u,SpringBoard
Huawei,,hws7300w,HUAWEI MediaPad
Huawei,,hws7930w,MediaPad 7 Lite
Huawei,,hwt8620,T8620
Huawei,,hwt8830,T8830
Huawei,,hwt8833,HUAWEI T8833
Huawei,,hwt8950,HUAWEI T8950
Huawei,,hwt8950N,HUAWEI T8950N
Huawei,,hwt8951,HUAWEI T8951
Huawei,,hwt9200,T9200
Huawei,,hwt9510e,T9510E
Huawei,,hwu8180,Netphone 501
Huawei,,hwu8180,U8180
Huawei,,hwu8185,U8185
Huawei,,hwu8186,U8186
Huawei,,hwu8230,U8230
Huawei,,hwu8350,Barcelona
Huawei,,hwu8350,GM FOX
Huawei,,hwu8350,HuaweiU8350
Huawei,,hwu8350,MTC Pro
Huawei,,hwu8350,Personal U8350
Huawei,,hwu8350,Temptation
Huawei,,hwu8350,U8350
Huawei,,hwu8350,U8350-51
Huawei,,hwu8500,Grameenphone Crystal
Huawei,,hwu8500,HUAWEI_IDEOS_U8500
Huawei,,hwu8500,HuaweiU8500
Huawei,,hwu8500,ICE
Huawei,,hwu8500,MF8503
Huawei,,hwu8500,MTC Evo
Huawei,,hwu8500,MegaFon U8500
Huawei,,hwu8500,U8500
Huawei,,hwu8510,Beeline_E500
Huawei,,hwu8510,GM Ultimate Slim
Huawei,,hwu8510,Huawei IDEOS X3
Huawei,,hwu8510,HuaweiU8510
Huawei,,hwu8510,MTC Bravo
Huawei,,hwu8510,S41HW
Huawei,,hwu8510,U8510
Huawei,,hwu8520,U8520
Huawei,,hwu8600,U8600
Huawei,,hwu8650,HUAWEI SONIC
Huawei,,hwu8650,HUAWEI_IDEOS_U8650
