Retail Branding,Marketing Name,Device,Model
Blackshark,Black Shark 2,skywalker,SKW-A0
Blackshark,Black Shark 2,skywalker,SKW-H0
Blackshark,Black Shark 2 Pro,darklighter,DLT-H0
Blackshark,Black shark 4 pro,kaiser-os,SHARK KSR-H0
Blackshark,KLE-A0,klein,SHARK KLE-A0
Blackshark,KLE-H0,klein,SHARK KLE-H0
Blackshark,MBU-A0,mobius,SHARK MBU-A0
Blackshark,MBU-H0,mobius,SHARK MBU-H0
Blackshark,SHARK KSR-A0,kaiser,SHARK KSR-A0
Blackshark,SHARK PRS-A0,penrose,SHARK PRS-A0
Blackshark,SHARK PRS-H0,penrose,SHARK PRS-H0
Blackshark,Shark,shark,SKR-H0
Blackshark,Shark 1S,bullhead,AWM-A0
Blackshark,黑鲨游戏手机,shark,SKR-A0
Blackshark,黑鲨游戏手机 2 Pro,darklighter,DLT-A0
POCO,POCO C3,angelicain,M2006C3MI
POCO,POCO C31,angelicain,211033MI
POCO,POCO F2 Pro,lmi,POCO F2 Pro
POCO,POCO F3,alioth,M2012K11AG
POCO,POCO F3 GT,aresin,M2104K10I
POCO,POCO F4,munch,22021211RG
POCO,POCO F4,munch,22021211RI
POCO,POCO F4 GT,ingres,21121210G
POCO,POCO M2,shiva,M2004J19PI
POCO,POCO M2 Pro,gram,POCO M2 Pro
POCO,POCO M3,citrus,M2010J19CG
POCO,POCO M3,citrus,M2010J19CI
POCO,POCO M3 Pro 5G,camellia,M2103K19PI
POCO,POCO M3 Pro 5G,camellian,M2103K19PG
POCO,POCO M4 5G,light,22041219PI
POCO,POCO M4 5G,thunder,22041219PG
POCO,POCO M4 Pro,fleur,2201117PG
POCO,POCO M4 Pro,miel,2201117PI
POCO,POCO M4 Pro 5G,evergreen,21091116AG
POCO,POCO M5s,rosemary,2207117BPG
POCO,POCO X2,phoenixin,POCO X2
POCO,POCO X3,karna,M2007J20CI
POCO,POCO X3 NFC,surya,M2007J20CG
POCO,POCO X3 Pro,bhima,M2102J20SI
POCO,POCO X3 Pro,vayu,M2102J20SG
POCO,POCO X4 GT,xaga,22041216G
