Phone,Device,Type,Version,RomUrl,Size
Mi 10T/Pro/Lite,Mi 10T/Pro RU,stable_rom,V12.5.3.0.RJDRUXM (MIUI12),https://bigota.d.miui.com/V12.5.3.0.RJDRUXM/miui_APOLLORUGlobal_V12.5.3.0.RJDRUXM_161f1a7c24_11.0.zip,3.1G
Mi 10T/Pro/Lite,Mi 10T/Pro EEA,stable_rom,V12.5.11.0.RJDEUXM (MIUI12),https://bigota.d.miui.com/V12.5.11.0.RJDEUXM/miui_APOLLOEEAGlobal_V12.5.11.0.RJDEUXM_0a9e19ca2f_11.0.zip,3.1G
Mi 10T/Pro/Lite,Mi 10T/Pro India,stable_rom,V12.5.3.0.RJDINXM (MIUI12),https://bigota.d.miui.com/V12.5.3.0.RJDINXM/miui_APOLLOINGlobal_V12.5.3.0.RJDINXM_322250c88e_11.0.zip,2.9G
Mi 10T/Pro/Lite,Mi 10T/Pro Global,stable_rom,V12.5.7.0.RJDMIXM (MIUI12),https://bigota.d.miui.com/V12.5.7.0.RJDMIXM/miui_APOLLOGlobal_V12.5.7.0.RJDMIXM_90675efb4b_11.0.zip,3.0G
Mi 10T/Pro/Lite,Mi 10T Lite TW,stable_rom,version自定义文案 (MIUI12),https://bigota.d.miui.com/V12.5.2.0.RJSTWXM/miui_GAUGUINTWGlobal_V12.5.2.0.RJSTWXM_d95d0d8b30_11.0.zip,2.7G
Mi 10T/Pro/Lite,Mi 10T/Pro TW,stable_rom,version自定义文案 (MIUI12),https://bigota.d.miui.com/V12.5.3.0.RJDTWXM/miui_APOLLOTWGlobal_V12.5.3.0.RJDTWXM_0f52901bcb_11.0.zip,3.0G
Mi 10T/Pro/Lite,Mi 10T/Pro TR,stable_rom,version自定义文案 (MIUI12),https://bigota.d.miui.com/V12.5.2.0.RJDTRXM/miui_APOLLOTRGlobal_V12.5.2.0.RJDTRXM_58362e8c25_11.0.zip,3.1G
POCO X3 NFC,POCO X3 NFC ID,stable_rom,V12.5.3.0.RJGIDXM (MIUI11),https://bigota.d.miui.com/V12.5.3.0.RJGIDXM/miui_SURYAIDGlobal_V12.5.3.0.RJGIDXM_b6577dfd88_11.0.zip,2.5G
POCO X3 NFC,POCO X3 NFC Global,stable_rom,V12.5.4.0.RJGMIXM (MIUI11),https://bigota.d.miui.com/V12.5.4.0.RJGMIXM/miui_SURYAGlobal_V12.5.4.0.RJGMIXM_65c0d9b872_11.0.zip,2.5G
POCO X3 NFC,POCO X3 NFC India,stable_rom,V12.5.4.0.RJGINXM (MIUI11),https://bigota.d.miui.com/V12.5.4.0.RJGINXM/miui_SURYAINGlobal_V12.5.4.0.RJGINXM_95a12e9a36_11.0.zip,2.5G
