系列,机型,类型,版本,地址,大小
小米11,小米11,稳定版,V12.5.16.0.RKBCNXM （MIUI12）,https://bigota.d.miui.com/V12.5.16.0.RKBCNXM/miui_VENUS_V12.5.16.0.RKBCNXM_d3c9a9470b_11.0.zip,4.2G
Redmi Note 9/4G/Pro,Redmi Note 9,稳定版,V12.5.8.0.RJECNXM （MIUI12）,https://bigota.d.miui.com/V12.5.8.0.RJECNXM/miui_CANNON_V12.5.8.0.RJECNXM_1201c1e8c1_11.0.zip,3.1G
Redmi Note 9/4G/Pro,Redmi Note 9 4G,稳定版,V12.5.5.0.RJQCNXM （MIUI12）,https://bigota.d.miui.com/V12.5.5.0.RJQCNXM/miui_LIME_V12.5.5.0.RJQCNXM_bb14040e90_11.0.zip,3.1G
Redmi Note 9/4G/Pro,Redmi Note 9 Pro,稳定版,V12.5.6.0.RJSCNXM （MIUI12）,https://bigota.d.miui.com/V12.5.6.0.RJSCNXM/miui_GAUGUIN_V12.5.6.0.RJSCNXM_f57ba0e57d_11.0.zip,3.5G
Redmi K30S 至尊纪念版,Redmi K30S 至尊纪念版,稳定版,V12.5.8.0.RJDCNXM （MIUI12）,https://bigota.d.miui.com/V12.5.8.0.RJDCNXM/miui_APOLLO_V12.5.8.0.RJDCNXM_5cb07932ff_11.0.zip,3.8G
Redmi 9/9A,Redmi 9,稳定版,V12.5.4.0.RJCCNXM （MIUI11）,https://bigota.d.miui.com/V12.5.4.0.RJCCNXM/miui_LANCELOT_V12.5.4.0.RJCCNXM_a18edd3180_11.0.zip,2.7G
Redmi 9/9A,Redmi 9A,稳定版,V12.5.4.0.RCDCNXM （MIUI12）,https://bigota.d.miui.com/V12.5.4.0.RCDCNXM/miui_DANDELION_V12.5.4.0.RCDCNXM_9731c33a46_11.0.zip,1.9G
Redmi 10X/Pro,Redmi 10X Pro,稳定版,V12.5.6.0.RJLCNXM （MIUI12）,https://bigota.d.miui.com/V12.5.6.0.RJLCNXM/miui_BOMB_V12.5.6.0.RJLCNXM_33ea11cb38_11.0.zip,3.2G
Redmi 10X/Pro,Redmi 10X 5G,稳定版,V12.5.7.0.RJHCNXM （MIUI12）,https://bigota.d.miui.com/V12.5.7.0.RJHCNXM/miui_ATOM_V12.5.7.0.RJHCNXM_7eeb1dd5d5_11.0.zip,3.0G
Redmi 10X/Pro,Redmi 10X 4G,稳定版,V12.5.3.0.RJOCNXM （MIUI12）,https://bigota.d.miui.com/V12.5.3.0.RJOCNXM/miui_MERLIN_V12.5.3.0.RJOCNXM_d583d95853_11.0.zip,2.8G
