Model,Build Type,Version,Updated On,Size,MD5,Download
OnePlus Nord N100,Official Build,10.5.4.BE81AA,"December 31, 2020",2.00 GB,d0632b57e12d8124413200c0a41245be,https://oxygenos.oneplus.net/OnePlusN100Oxygen_14.O.07_OTA_007_all_2012151222_d81743ad5f9f4c69.zip
OnePlus 8T,Official Build,11.0.7.9.KB05AA,"February 20, 2021",2.73 GB,376e64715a65472323328ebff75faa63,https://oxygenos.oneplus.net/OnePlus8TOxygen_15.O.22_OTA_0220_all_2102011818_b15fd99805c84e3b.zip
OnePlus Nord,Official Build,10.5.10.AC01AA,"January 13, 2021",2.45 GB,8431da45312b5b868570f5403bacc97d,https://oxygenos.oneplus.net/NordOxygen_14.O.12_OTA_012_all_2012212243_2ef9ca6007a245c0.zip
OnePlus 8 Pro,Beta Build,open beta 4,"December 29, 2020",2.90 GB,5c1053e5484c7d5c2f8e9a98131253d5,https://oxygenos.oneplus.net/OnePlus8ProOxygen_15.X.14_OTA_0140_all_2011111132_ce0dd6d90d114625.zip
OnePlus 7T Pro,Official Build,10.0.14.HD01AA,"February 7, 2021",2.65 GB,c7563a1c3f543a3e6fc0c12c0725a9c7,https://oxygenos.oneplus.net/OnePlus7TProOxygen_14.O.22_OTA_022_all_2101280017_cad6881917c0473a.zip
OnePlus 7T Pro,Beta Build,Open Beta 1,"January 22, 2021",2.61 GB,4187d52d7201b3cca794c6097934e6fb,https://oxygenos.oneplus.net/OnePlus7TProOxygen_13.W.21_OTA_0210_all_2101120411_b9d3d9bbab1241dd.zip
OnePlus 7T,Official Build,10.0.16.HD65AA,"February 7, 2021",2.59 GB,653dba46e9170eac078fe8c7224388f5,https://oxygenos.oneplus.net/OnePlus7TOxygen_14.O.22_OTA_022_all_2101280011_d336ddc9a1ed41b3.zip
OnePlus 7T,Beta Build,Open Beta 1,"January 22, 2021",2.58 GB,47fe47aa0adc5c03b859c8a5bfc3340f,https://oxygenos.oneplus.net/OnePlus7TOxygen_13.W.21_OTA_0210_all_2101121639_9a48c7dc03e64c06.zip
OnePlus 7Pro,Official Build,10.3.8.GM21AA,"February 7, 2021",2.14 GB,db9ef896f4dec34f0d4267dbf3e38291,https://oxygenos.oneplus.net/OnePlus7ProOxygen_21.P.32_OTA_032_all_2101280003_a71355f26184419e.zip
OnePlus 7Pro,Beta Build,Open Beta 1,"January 22, 2021",2.42 GB,961d523f119ac504fd04466516598470,https://oxygenos.oneplus.net/OnePlus7ProOxygen_13.W.56_OTA_0560_all_2101120609_9771858d9b944bdb.zip
