机型,类型,版本,时间,大小,MD5,下载
OnePlus 8 Pro,稳定版,10.5.6.IN11,2020-05-06,3.08 GB,a125f9e95cd8d53199870d5e8270eb11,http://download.h2os.com/OnePlus8Pro/MP/OnePlus8ProHydrogen_15.H.15_OTA_015_all_2004262106_0463a37ea6b34c4c.zip
OnePlus 8,稳定版,10.5.3.IN21,2020-05-06,3.01 GB,68f9d0f07bf7887cbee2f1ce44e1705b,http://download.h2os.com/OnePlus8/MP/OnePlus8Hydrogen_15.H.12_OTA_012_all_2004262108_09cac958d07841ef.zip
OnePlus 7T Pro,稳定版,10.0.6,2020-04-01,3.31GB,6282ef1ed495f3cb89ad13a807c1771b,http://download.h2os.com/OnePlus7T%20Pro/MP/OnePlus7TProHydrogen_14.H.11_OTA_011_all_2003162017_c2af040b1fbb4703.zip
OnePlus 7T Pro,公测版,第4版,2020-05-14,3.44 GB,7b8e6b2cb6dbff1d35ffcc5b3fc93fc1,http://download.h2os.com/OnePlus7T%20Pro/OBT/OnePlus7TProHydrogen_13.X.04_OTA_004_all_2004291554_ff88bf844dff4ecb.zip
OnePlus 7T,稳定版,10.0.8.HD65,2020-04-01,3.23GB,edca042d50baa40fbdeecb07ba198360,http://download.h2os.com/OnePlus7T/MP/OnePlus7THydrogen_14.H.11_OTA_011_all_2003162025_bfa1423ab76f44ab.zip
OnePlus 7T,公测版,第4版,2020-05-14,3.35 GB,e02ddb1d1431699abeb1153e81f2dc16,http://download.h2os.com/OnePlus7T/OBT/OnePlus7THydrogen_13.X.04_OTA_004_all_2004291542_34ea0fb959f34c85.zip
OnePlus 7 Pro,稳定版,10.0.4.GM21,2020-03-31,2.88GB,022fa37c23d7dfb9ca14eee27cb58df0,http://download.h2os.com/OnePlus7Pro/MP/OnePlus7ProHydrogen_21.H.24_OTA_024_all_2003161856_868c8c2c156442d9.zip
OnePlus 7 Pro,公测版,第12版,2020-05-14,3.0 GB,aeeac1756681fec42a087d816fe119c2,http://download.h2os.com/OnePlus7Pro/OBT/OnePlus7ProHydrogen_13.X.33_OTA_033_all_2004291533_f239807ac1d64d51.zip
OnePlus 7,稳定版,10.0.5.GM57,2020-04-30,2.82GB,3606dc9558e572538f9406f97495375f,http://download.h2os.com/OnePlus7/MP/OnePlus7Hydrogen_14.H.25_OTA_025_all_2004102228_424eac883c884f13.zip
OnePlus 7,公测版,第12版,2020-05-14,2.95GB,5f979e3b7efba4f1b87570b5d1ba0b6d,http://download.h2os.com/OnePlus7/OBT/OnePlus7Hydrogen_13.X.33_OTA_033_all_2004291531_ecdd254ad0ec4a89.zip
