宣传名称,品牌,产品型号,产品上市时间,产品零售价格,屏幕尺寸,AP型号,智能操作系统
OPPO Find N,OPPO,PEUM00,20211231,12000,7.1,SM8350,Android 11
OPPO Reno7 Pro 5G,OPPO,PFDM00,20211203,4199,6.55,MT6893Z,Android 11
OPPO Reno7 SE 5G,OPPO,PFCM00,20211231,2899,6.43,MT6877,Android 11
OPPO Reno7 5G,OPPO,PFJM10,20211203,3399,6.43,SM7325,Android 11
OPPO K9s 5G,OPPO,PERM10,20211111,2099,6.59,SM7325,Android 11
OPPO A56 5G,OPPO,PFVM10,20211101,1799,6.52,MT6833,Android 11
OPPO A53 5G,OPPO,PECM20,20211008,1899,6.5,MT6853V,Android 10
OPPO K9 Pro 5G,OPPO,PEYM00,20210924,2399,6.43,MT6893,Android 11
OPPO A93s 5G,OPPO,PFGM00,20210709,1999,6.5,MT6833,Android 11
OPPO Reno6 5G,OPPO,PEQM00,20210615,3499,6.43,MT6877V,Android 11
OPPO Reno6 Pro+ 5G,OPPO,PENM00,20210604,4799,6.55,SM8250,Android 11
OPPO Reno6 Pro,OPPO,PEPM00,20210605,4199,6.55,MT6893Z,Android 11
OPPO A95 5G,OPPO,PELM00,20210430,2599,6.43,MT6853V/TNZA,Android 11
OPPO A35,OPPO,PEFM00,20210331,1299,6.517,MT6765,Android 10
OPPO Find X3 Pro 5G,OPPO,PEEM00,20210319,6399,6.7,SM8350,Android 11
OPPO Find X3 5G,OPPO,PEDM00,20210319,5399,6.7,SM8250,Android 11
OPPO A55 5G,OPPO,PEMM20,20210220,1999,6.52,MT6833,Android 11
OPPO Reno5 K 5G,OPPO,PEGM10,20210307,3199,6.43,SM7225,Android 11
OPPO A55 5G,OPPO,PEMM00,20210131,1999,6.52,MT6833,Android 11
OPPO A93 5G,OPPO,PEHM00,20210115,2199,6.5,SM4350,Android 11
OPPO Reno5 Pro+ 5G,OPPO,PDRM00,20201230,4699,6.55,SM8250,Android 11
OPPO Reno5 5G,OPPO,PEGM00,20201201,3699,6.43,SM7250,Android 11
OPPO Reno5 Pro 5G,OPPO,PDSM00,20201201,4299,6.55,MT6889Z,Android 11
OPPO A53 5G,OPPO,PECM30,20201201,1799,6.5,MT6853V,Android 10
OPPO A32,OPPO,PDVM00,20200920,1599,6.52,SM4250,Android 10
OPPO A72n 5G,OPPO,PDYM10,20200904,1899,6.5,MT6853V,Android 10
OPPO Reno4 SE 5G,OPPO,PEAM00,20200910,2999,6.43,MT6853V,Android 10
