系列,机型,版本,ColorOS,Android,地址,大小,时间,MD5
Find系列,OPPO Find X2 Pro,正式版-A.20,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20210116192951/PDEM10_11_OTA_0500_all_i5OwKR2W0S7D.ozip,3817.13MB,2021-01-16T11:35:58.000+0000,e139408b2b7a8c25a142bd0d3b3400da
Find系列,OPPO Find X2 Pro,正式版-A.19,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20201107152428/PDEM10_11_OTA_0490_all_usRuhHAaxn5f.ozip,3822.72MB,2020-11-07T07:27:03.000+0000,4b85a05d6e6a76a7b7ce1959107e4418
Find系列,OPPO Find X2 Pro,正式版-A.17,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20201023165618/PDEM10_11_OTA_0470_all_NvfTuIP2plrH.ozip,3801.78MB,2020-10-23T09:00:01.000+0000,aa2c4f9a181fdcc2f725144015f55eae
Find系列,OPPO Find X2 Pro,正式版-A.15,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20200825094237/PDEM10_11_OTA_0460_all_MHvLRj9IGkbL.ozip,3789.84MB,2020-08-25T01:45:00.000+0000,42fea4bab10d0cb2aec84329c4bc90d7
Find系列,OPPO Find X2 Pro,正式版-A.11,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20200630093843/PDEM10_11_OTA_0420_all_fOBz5CDbneb9.ozip,3717.86MB,2020-06-30T01:40:03.000+0000,33221eb4ed3a77d90b642eaa4f71ba2b
Find系列,OPPO Find X2 Pro,ColorOS 7 正式版-A.10（Android 10）,7.1,10.0,https://fsopen.coloros.com/3/oppowww/androidrom/pdem10/PDEM10_11_OTA_0410_all_vj1LOmjA4WO5.ozip,3700M,2020-05-27T14:19:14.000+0000,3F4B05A6102CDAE102BF8C17B92C5BAA
Find系列,OPPO Find X2 Pro,ColorOS 7 正式版-A.08（Android 10）,7.1,10.0,https://fsopen.coloros.com/3/oppowww/androidrom/pdem10/PDEM10_11_OTA_0390_all_hs0mjSSgTAme.ozip,3649M,2020-05-15T00:11:50.000+0000,F5BFB2FA4EF582B78DEE093A495D060A
Find系列,OPPO Find X2 Pro,ColorOS 7 正式版-A.09（Android 10）,7.1,10.0,https://fsopen.coloros.com/3/oppowww/androidrom/pdem10/PDEM10_11_OTA_0400_all_f68o52TYOY1I.ozip,3662M,2020-05-10T23:22:26.000+0000,18EEE38D5D71EBC24F57B2FAB4013D2B
Find系列,OPPO Find X2 Pro,ColorOS 7 正式版-A.07（Android 10）,7.1,10.0,https://fsopen.coloros.com/3/oppowww/androidrom/pdem10/PDEM10_11_OTA_0380_all_AGqFtgzbmIDg.ozip,3634M,2020-04-20T19:39:52.000+0000,7FF2885610BEB79AB1E1F5DB75F15F24
Find系列,OPPO Find X2 Pro,ColorOS 7 正式版-A.04（Android 10）,7.1,10.0,https://fsopen.coloros.com/3/oppowww/androidrom/pdem10/PDEM10_11_OTA_0351_all_k8FO1A3J2vUU.ozip,3654M,2020-04-08T12:47:20.000+0000,BBE78F5DC76B23229DF6388C2E96C9A3
Find系列,OPPO Find X2 Pro,ColorOS 7 正式版-A.03（Android 10）,7,10.0,https://fsopen.coloros.com/3/oppowww/androidrom/pdem10/PDEM10_11_OTA_0341_all_JP0xKUtTHjYL.ozip,3614M,2020-03-19T22:13:58.000+0000,5128B5F7E1D5CFEE4272723394BB1E74
Find系列,OPPO Find X2,正式版-A.20,V7,10,https://coloroswebsitefs.coloros.com/coloroswebsite-coloros-com/grs_20210116192951/PDEM10_11_OTA_0500_all_i5OwKR2W0S7D.ozip,3817.13MB,2021-01-16T11:33:14.000+0000,e139408b2b7a8c25a142bd0d3b3400da
