Retail Branding,Marketing Name,Device,Model
Vivo,	V2040,2040,V2040
Vivo,1601,1601,vivo 1601
Vivo,1601,1601,vivo 1713
Vivo,1609,1609,vivo 1609
Vivo,G2,PD2318,V2318A
Vivo,I1927,I1928,I1927
Vivo,I1928,I1928,I1928
Vivo,I2009,2009,I2009
Vivo,I2011,2011,I2011
Vivo,I2012,2012,I2012
Vivo,I2017,2017,I2017
Vivo,I2127,I2127,I2127
Vivo,I2202,I2202,I2202
Vivo,NEX A,PD1806B,vivo NEX A
Vivo,PA2170,DPD2106,PA2170
Vivo,PD1304DL,PD1304DL,vivo Y13iL
Vivo,PD1419V,PD1419V,vivo Y923
Vivo,PD1612,PD1612,vivo PD1612
Vivo,PD1612,PD1612,vivo Y67
Vivo,PD1731D,PD1731D,vivo Y71A
Vivo,S17,PD2283,V2283A
Vivo,S17 Pro,PD2284,V2284A
Vivo,S18 Pro,PD2344,V2344A
Vivo,T1,V2154,V2153
Vivo,T1,V2154,V2154
Vivo,T1,V2154,V2168
Vivo,T1 5G,V2151,V2150
Vivo,T1 Pro 5G,V2151,V2151
Vivo,T1x,2135,V2143
Vivo,T2,V2237,V2320
Vivo,T2 5G,V2222,V2240
Vivo,T2 Pro 5G,V2321,V2321
Vivo,T2x 5G,V2225,V2253
Vivo,T2x 5G,V2225,V2312
Vivo,T3 5G,V2334,V2334
Vivo,U5x,PD2180,V2180GA
Vivo,V1,V1,vivo V1
Vivo,V1730EA,PD1730E,V1730EA
Vivo,V1731CA,PD1731C,V1731CA
Vivo,V1732A,PD1732,V1732A
Vivo,V1809A,PD1809,V1809A
Vivo,V1813BA,PD1813B,V1813BA
Vivo,V1813BT,PD1813D,V1813BT
Vivo,V1814A,PD1814,V1814A
Vivo,V1816A,PD1816,V1816A
Vivo,V1818A,PD1818,V1818A
Vivo,V1818A,PD1818G,V1818A
Vivo,V1818CA,PD1818E,V1818CA
Vivo,V1821BA,PD1821,V1821A
Vivo,V1824A,PD1824,V1824A
Vivo,V1829A,PD1829,V1829A
Vivo,V1836A,PD1836,V1836A
Vivo,V1838A,PD1838,V1838A
Vivo,V1901A,PD1901,V1901A
Vivo,V1901K,PD1901,V1901A
Vivo,V1911A,PD1911,V1911A
Vivo,V1913A,PD1913,V1913A
Vivo,V1914A,PD1914,V1914A
Vivo,V1916A,PD1916,V1916A
Vivo,V1921A,PD1921,V1921A
Vivo,V1922A,PD1922,V1922A
Vivo,V1923A,PD1923,V1923A
Vivo,V1924A,PD1924,V1924A
Vivo,V1926,1926,V1926
Vivo,V1928A,PD1928,V1928A
Vivo,V1930,1930,V1930
Vivo,V1930A,PD1930,V1930A
Vivo,V1932A,PD1932,V1932A
Vivo,V1934A,PD1934,V1934A
Vivo,V1936A,PD1936,V1936A
Vivo,V1936AL,PD1936G,V1936AL
Vivo,V1937,1920,V1937
Vivo,V1937,1937,V1937
Vivo,V1938A,PD1938,V1938T
Vivo,V1938CT,PD1938,V1938CT
Vivo,V1941A,PD1941,V1941A
Vivo,V1945A,PD1945,V1945A
Vivo,V1950A,PD1950,V1950A
Vivo,V1955A,PD1955,V1955A
Vivo,V1962A,PD1962,V1962A
Vivo,V1963A,PD1963,V1963A
Vivo,V1965A,PD1965,V1965A
Vivo,V1981A,PD1981,V1981A
Vivo,V1986A,PD1986,V1986A
Vivo,V1990A,PD1990,V1990A
Vivo,V1Max,Y37,vivo Y37
Vivo,V2001A,PD2001,V2001A
Vivo,V2002A,PD2002,V2002A
Vivo,V2002A,PD2019,V2002A
Vivo,V2002A,PD2019,V2019A
Vivo,V2005A,PD2005,V2005A
Vivo,V2006,2006,V2006
Vivo,V2009A,PD2156,V2009A
Vivo,V2011A,PD2011,V2011A
Vivo,V2012A,PD2012,V2012A
Vivo,V2020A,PD2020,V2020A
Vivo,V2022,2023,V2022
Vivo,V2023,2023,V2023
Vivo,V2023A,PD2023,V2023A
Vivo,V2023EA,PD2023,V2023EA
Vivo,V2024,1920,V2024
Vivo,V2024A,PD2024,V2024A
Vivo,V2025,2025,V2025
Vivo,V2025A,PD2024,V2025A
Vivo,V2026,2026,V2026
Vivo,V2026_21,2026,V2026_21
Vivo,V2027,2027,V2027
Vivo,V2028,2027,V2028
Vivo,V2028,2028,V2028
